dataset,depth,threads,time_sec,accuracy,misclassification
fault,2,1,0.21,0.586296,803
fault,2,2,0.116,0.586296,803
fault,2,3,0.075,0.586296,803
fault,2,4,0.072,0.586296,803
fault,2,5,0.058,0.586296,803
fault,2,6,0.062,0.586296,803
fault,2,7,0.041,0.586296,803
fault,2,8,0.068,0.586296,803
fault,2,9,0.042,0.586296,803
fault,2,10,0.04,0.586296,803
fault,2,11,0.071,0.586296,803
fault,2,12,0.04,0.586296,803
fault,2,13,0.051,0.586296,803
fault,2,14,0.044,0.586296,803
fault,2,15,0.075,0.586296,803
fault,2,16,0.075,0.586296,803
fault,2,32,0.113,0.586296,803
fault,2,60,0.094,0.586296,803
bank,2,1,0.002,0.927114,100
bank,2,2,0.001,0.927114,100
bank,2,3,0.004,0.927114,100
bank,2,4,0.008,0.927114,100
bank,2,5,0.001,0.927114,100
bank,2,6,0.006,0.927114,100
bank,2,7,0.014,0.927114,100
bank,2,8,0.006,0.927114,100
bank,2,9,0.001,0.927114,100
bank,2,10,0.001,0.927114,100
bank,2,11,0.001,0.927114,100
bank,2,12,0.003,0.927114,100
bank,2,13,0.01,0.927114,100
bank,2,14,0.003,0.927114,100
bank,2,15,0.002,0.927114,100
bank,2,16,0.01,0.927114,100
bank,2,32,0.014,0.927114,100
bank,2,60,0.021,0.927114,100
skin,2,1,0.423,0.926874,17920
skin,2,2,0.38,0.926874,17920
skin,2,3,0.385,0.926874,17920
skin,2,4,0.387,0.926874,17920
skin,2,5,0.413,0.926874,17920
skin,2,6,0.381,0.926874,17920
skin,2,7,0.403,0.926874,17920
skin,2,8,0.385,0.926874,17920
skin,2,9,0.385,0.926874,17920
skin,2,10,0.389,0.926874,17920
skin,2,11,0.424,0.926874,17920
skin,2,12,0.388,0.926874,17920
skin,2,13,0.38,0.926874,17920
skin,2,14,0.386,0.926874,17920
skin,2,15,0.388,0.926874,17920
skin,2,16,0.401,0.926874,17920
skin,2,32,0.389,0.926874,17920
skin,2,60,0.376,0.926874,17920
wilt,2,1,0.083,0.971482,138
